# C initSynchTables dump: F(x) and Ga(x)
# SYNCH_N_X=2000  SYNCH_X_MIN=1.0e-05  SYNCH_X_MAX=5.0e+01
# Columns: i  x  F(x)  Ga(x)
       i               x            F(x)           Ga(x)
     278    8.543241e-05    9.451613e-02    1.602415e+00
     279    8.609418e-05    9.475875e-02    1.602415e+00
     280    8.676108e-05    9.500199e-02    1.602415e+00
     281    8.743315e-05    9.524584e-02    1.602415e+00
     282    8.811042e-05    9.549032e-02    1.602415e+00
     283    8.879294e-05    9.573542e-02    1.602415e+00
     284    8.948075e-05    9.598115e-02    1.602415e+00
     285    9.017388e-05    9.622750e-02    1.602415e+00
     286    9.087239e-05    9.647448e-02    1.602415e+00
     287    9.157630e-05    9.672209e-02    1.602415e+00
     288    9.228567e-05    9.697033e-02    1.602415e+00
     289    9.300053e-05    9.721921e-02    1.602415e+00
     290    9.372093e-05    9.746871e-02    1.602415e+00
     291    9.444690e-05    9.771886e-02    1.602415e+00
     292    9.517851e-05    9.796964e-02    1.602415e+00
     293    9.591578e-05    9.822106e-02    1.602415e+00
     294    9.665876e-05    9.847312e-02    1.602415e+00
     295    9.740749e-05    9.872582e-02    1.602415e+00
     296    9.816203e-05    9.897917e-02    1.602415e+00
     297    9.892241e-05    9.923316e-02    1.602415e+00
     298    9.968868e-05    9.948780e-02    1.602415e+00
     299    1.004609e-04    9.974309e-02    1.602415e+00
     300    1.012391e-04    9.999903e-02    1.602415e+00
     301    1.020233e-04    1.002556e-01    1.602415e+00
     302    1.028136e-04    1.005129e-01    1.602415e+00
     303    1.036100e-04    1.007708e-01    1.602415e+00
     304    1.044126e-04    1.010293e-01    1.602415e+00
     305    1.052214e-04    1.012885e-01    1.602415e+00
     306    1.060364e-04    1.015484e-01    1.602415e+00
     307    1.068578e-04    1.018089e-01    1.602415e+00
     308    1.076856e-04    1.020701e-01    1.602415e+00
     309    1.085197e-04    1.023320e-01    1.602415e+00
     310    1.093603e-04    1.025945e-01    1.602415e+00
     311    1.102074e-04    1.028577e-01    1.602415e+00
     312    1.110611e-04    1.031216e-01    1.602415e+00
     313    1.119214e-04    1.033861e-01    1.602415e+00
     314    1.127884e-04    1.036514e-01    1.602415e+00
     315    1.136621e-04    1.039172e-01    1.602415e+00
     316    1.145425e-04    1.041838e-01    1.602415e+00
     317    1.154298e-04    1.044510e-01    1.602415e+00
     318    1.163239e-04    1.047190e-01    1.602415e+00
     319    1.172250e-04    1.049876e-01    1.602415e+00
     320    1.181330e-04    1.052569e-01    1.602415e+00
     321    1.190481e-04    1.055268e-01    1.602415e+00
     322    1.199703e-04    1.057975e-01    1.602415e+00
     323    1.208996e-04    1.060688e-01    1.602415e+00
     324    1.218361e-04    1.063409e-01    1.602415e+00
     325    1.227799e-04    1.066136e-01    1.602415e+00
     326    1.237310e-04    1.068870e-01    1.602415e+00
     327    1.246894e-04    1.071612e-01    1.602415e+00
     328    1.256553e-04    1.074360e-01    1.602415e+00
     329    1.266286e-04    1.077115e-01    1.602415e+00
     330    1.276095e-04    1.079877e-01    1.602415e+00
     331    1.285980e-04    1.082646e-01    1.602415e+00
     332    1.295941e-04    1.085422e-01    1.602415e+00
     333    1.305980e-04    1.088206e-01    1.602415e+00
     334    1.316096e-04    1.090996e-01    1.602415e+00
     335    1.326291e-04    1.093793e-01    1.602415e+00
     336    1.336565e-04    1.096598e-01    1.602415e+00
     337    1.346918e-04    1.099410e-01    1.602415e+00
     338    1.357351e-04    1.102228e-01    1.602415e+00
     339    1.367866e-04    1.105054e-01    1.602415e+00
     340    1.378461e-04    1.107888e-01    1.602415e+00
     341    1.389139e-04    1.110728e-01    1.602415e+00
     342    1.399900e-04    1.113575e-01    1.602415e+00
     343    1.410744e-04    1.116430e-01    1.602415e+00
     344    1.421671e-04    1.119292e-01    1.602415e+00
     345    1.432684e-04    1.122162e-01    1.602415e+00
     346    1.443782e-04    1.125038e-01    1.602415e+00
     347    1.454966e-04    1.127922e-01    1.602414e+00
     348    1.466236e-04    1.130813e-01    1.602414e+00
     349    1.477594e-04    1.133712e-01    1.602414e+00
     350    1.489039e-04    1.136618e-01    1.602414e+00
     351    1.500574e-04    1.139531e-01    1.602414e+00
     352    1.512198e-04    1.142452e-01    1.602414e+00
     353    1.523911e-04    1.145380e-01    1.602414e+00
     354    1.535716e-04    1.148316e-01    1.602414e+00
     355    1.547612e-04    1.151259e-01    1.602414e+00
     356    1.559600e-04    1.154209e-01    1.602414e+00
     357    1.571681e-04    1.157167e-01    1.602414e+00
     358    1.583855e-04    1.160132e-01    1.602414e+00
     359    1.596124e-04    1.163105e-01    1.602414e+00
